,Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
0,2019-07-31,,,,14.4405,0.0,,,,,,
1,2019-07-30,,,,14.4405,0.026,,,,,,
2,2019-07-29,,,,14.4145,-0.10975,,,,,,
3,2019-07-26,,,,14.52425,0.177,,,,,,
4,2019-07-25,,,,14.34725,0.203,,,,,,
5,2019-07-24,,,,14.14425,-0.01,,,,,,
6,2019-07-23,,,,14.15425,0.045,,,,,,
7,2019-07-22,,,,14.10925,-0.06,,,,,,
8,2019-07-19,,,,14.16925,0.07475,,,,,,
9,2019-07-18,,,,14.0945,-0.16575,,,,,,
10,2019-07-17,,,,14.26025,0.05075,,,,,,
11,2019-07-16,,,,14.2095,0.04525,,,,,,
12,2019-07-15,,,,14.16425,-0.0505,,,,,,
13,2019-07-12,,,,14.21475,0.00525,,,,,,
14,2019-07-11,,,,14.2095,-0.05575,,,,,,
15,2019-07-10,,,,14.26525,-0.16475,,,,,,
16,2019-07-09,,,,14.43,-0.026,,,,,,
17,2019-07-08,,,,14.456,0.0,,,,,,
18,2019-07-05,,,,14.456,0.10875,,,,,,
19,2019-07-04,,,,14.34725,0.0,,,,,,
20,2019-07-03,,,,14.34725,-0.031,,,,,,
21,2019-07-02,,,,14.37825,-0.057,,,,,,
22,2019-07-01,,,,14.43525,0.0415,,,,,,
23,2019-06-28,,,,14.39375,-0.08325,,,,,,
24,2019-06-27,,,,14.477,-0.06325,,,,,,
25,2019-06-26,,,,14.54025,-0.128,,,,,,
26,2019-06-25,,,,14.66825,-0.01075,,,,,,
27,2019-06-24,,,,14.679,0.0215,,,,,,
28,2019-06-21,,,,14.6575,0.0375,,,,,,
29,2019-06-20,,,,14.62,-0.0375,,,,,,
30,2019-06-19,,,,14.6575,-0.20125,,,,,,
31,2019-06-18,,,,14.85875,-0.2985,,,,,,
32,2019-06-17,,,,15.15725,0.0,,,,,,
33,2019-06-14,14.98,14.98,14.98,14.98125,-0.05625,14.98,1.0,64.0,,,
34,2019-06-13,15.0625,15.08,15.0075,15.0375,-0.017,15.03847,36.0,56.0,,,
35,2019-06-12,14.9625,15.0175,14.9625,15.0545,0.21225,14.99,6.0,37.0,,,19.0
36,2019-06-11,,,,14.84225,-0.14475,,,37.0,,,
37,2019-06-10,15.02,15.02,15.02,14.987,-0.14725,15.02,18.0,19.0,,,
38,2019-06-07,,,,15.13425,-0.05175,,,19.0,,,
39,2019-06-06,15.07,15.145,15.0425,15.186,0.10875,15.11239,22.0,5.0,,,
40,2019-06-05,14.99,14.99,14.9825,15.07725,0.235,14.98925,10.0,5.0,,,
41,2019-06-04,,,,14.84225,0.1795,,,5.0,,,
42,2019-06-03,,,,14.66275,-0.10275,,,5.0,,,
43,2019-05-31,,,,14.7655,-0.132,,,5.0,,,
44,2019-05-30,14.775,14.775,14.775,14.8975,-0.01675,14.775,5.0,0.0,,,
45,2019-05-29,,,,14.91425,-0.0055,,,,,,
46,2019-05-28,,,,14.91975,0.30525,,,,,,
47,2019-05-27,,,,14.6145,0.0,,,,,,
48,2019-05-24,,,,14.6145,-0.086,,,,,,
49,2019-05-23,,,,14.7005,0.13925,,,,,,
50,2019-05-22,,,,14.56125,-0.03725,,,,,,
51,2019-05-21,,,,14.5985,0.00525,,,,,,
52,2019-05-20,,,,14.59325,-0.06425,,,,,,
53,2019-05-17,,,,14.6575,0.17,,,,,,
54,2019-05-16,,,,14.4875,0.068,,,,,,
55,2019-05-15,,,,14.4195,-0.04175,,,,,,
56,2019-05-14,,,,14.46125,-0.079,,,,,,
57,2019-05-13,,,,14.54025,0.18275,,,,,,
58,2019-05-10,,,,14.3575,-0.19325,,,,,,
59,2019-05-09,,,,14.55075,-0.0425,,,,,,
60,2019-05-08,,,,14.59325,-0.10725,,,,,,
61,2019-05-07,,,,14.7005,0.01075,,,,,,
62,2019-05-06,,,,14.68975,0.09125,,,,,,
63,2019-05-03,,,,14.5985,-0.178,,,,,,
64,2019-05-02,,,,14.7765,0.10825,,,,,,
65,2019-05-01,,,,14.66825,0.1175,,,,,,
66,2019-04-30,,,,14.55075,-0.0265,,,,,,
67,2019-04-29,,,,14.57725,-0.05325,,,,,,
68,2019-04-26,,,,14.6305,-0.05925,,,,,,
69,2019-04-25,,,,14.68975,-0.00525,,,,,,
70,2019-04-24,,,,14.695,0.1655,,,,,,
71,2019-04-23,,,,14.5295,0.1255,,,,,,
72,2019-04-22,,,,14.404,,,,,,,
73,2019-04-18,,,,14.30625,0.051,,,,,,
74,2019-04-17,,,,14.25525,-0.0305,,,,,,
75,2019-04-16,,,,14.28575,0.0,,,,,,
76,2019-04-15,,,,14.28575,0.05075,,,,,,
77,2019-04-12,,,,14.235,-0.03025,,,,,,
78,2019-04-11,,,,14.26525,0.07575,,,,,,
79,2019-04-10,,,,14.1895,-0.14225,,,,,,
80,2019-04-09,,,,14.33175,-0.036,,,,,,
81,2019-04-08,,,,14.36775,0.03075,,,,,,
82,2019-04-05,,,,14.337,-0.0515,,,,,,
83,2019-04-04,,,,14.3885,-0.031,,,,,,
84,2019-04-03,,,,14.4195,-0.0785,,,,,,
85,2019-04-02,,,,14.498,0.05225,,,,,,
86,2019-04-01,,,,14.44575,-0.28725,,,,,,
