,Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
0,2019-07-23,1088147.0,93866.0,217199.0,98975.0,294062.0,179987.0,245590.0,28073.0,74250.0,92508.0,30195.0,221665.0,1006842.0,1045432.0,81305.0,42715.0
1,2019-07-16,1038695.0,85509.0,211517.0,98793.0,285857.0,164808.0,248138.0,28250.0,68769.0,90109.0,30724.0,206282.0,962409.0,996207.0,76286.0,42488.0
2,2019-07-09,1010098.0,69203.0,207701.0,101003.0,272713.0,156004.0,241396.0,24254.0,79919.0,89286.0,31873.0,198912.0,935723.0,971376.0,74375.0,38722.0
3,2019-07-02,1031393.0,68320.0,205037.0,97626.0,285666.0,153996.0,258490.0,17327.0,88263.0,85880.0,32220.0,208975.0,961550.0,991485.0,69843.0,39908.0
4,2019-06-25,1014917.0,67900.0,190731.0,98002.0,278079.0,154872.0,255572.0,25908.0,87647.0,82885.0,33585.0,200263.0,947140.0,971085.0,67777.0,43832.0
5,2019-06-18,858867.0,52208.0,151171.0,94870.0,251505.0,111899.0,216650.0,26969.0,90263.0,74826.0,28974.0,158993.0,799708.0,819774.0,59159.0,39093.0
6,2019-06-11,764776.0,46038.0,136187.0,93479.0,227735.0,94259.0,186856.0,30138.0,82721.0,73987.0,24764.0,132834.0,710173.0,728638.0,54603.0,36138.0
7,2019-06-04,720079.0,41139.0,124446.0,90006.0,199394.0,88301.0,174233.0,56318.0,75619.0,78609.0,20858.0,115536.0,663442.0,680471.0,56637.0,39608.0
8,2019-05-28,669686.0,60834.0,123134.0,105864.0,152297.0,95981.0,125944.0,92810.0,59859.0,69053.0,16654.0,94197.0,611731.0,634929.0,57955.0,34757.0
9,2019-05-21,724237.0,57864.0,120391.0,105310.0,143966.0,96225.0,120279.0,95901.0,88948.0,71488.0,16177.0,124049.0,664163.0,685658.0,60075.0,38579.0
10,2019-05-14,740685.0,52244.0,115814.0,93677.0,171110.0,99088.0,149824.0,83902.0,84839.0,78400.0,15874.0,122458.0,680530.0,693084.0,60155.0,47601.0
11,2019-05-07,665348.0,33039.0,80236.0,100016.0,153255.0,93764.0,112265.0,92544.0,74272.0,74039.0,15613.0,123605.0,610999.0,633289.0,54349.0,32059.0
12,2019-04-30,637690.0,29999.0,81192.0,109601.0,152090.0,91090.0,103660.0,93220.0,59559.0,74082.0,14372.0,115420.0,583411.0,606943.0,54280.0,30747.0
13,2019-04-23,673157.0,31496.0,66857.0,114935.0,137335.0,101537.0,91734.0,114062.0,73710.0,75232.0,16882.0,128805.0,617450.0,639189.0,55707.0,33968.0
14,2019-04-16,674009.0,33367.0,76536.0,107045.0,144290.0,98300.0,101949.0,105918.0,71404.0,75332.0,15646.0,126542.0,613939.0,638637.0,60070.0,35372.0
15,2019-04-09,677719.0,33944.0,92510.0,89605.0,177481.0,100968.0,133045.0,77308.0,62380.0,73764.0,12157.0,124155.0,617860.0,646958.0,59858.0,30760.0
16,2019-04-02,658649.0,32694.0,89754.0,101367.0,168459.0,96676.0,122356.0,83198.0,60661.0,72476.0,12664.0,117003.0,603234.0,628416.0,55415.0,30233.0
17,2019-03-26,744171.0,33503.0,101904.0,94532.0,196279.0,127064.0,153684.0,73927.0,64777.0,73160.0,15792.0,128234.0,674954.0,707977.0,69217.0,36194.0
18,2019-03-19,774937.0,51053.0,118282.0,97703.0,172380.0,138187.0,144750.0,87004.0,72175.0,72969.0,18588.0,137829.0,714665.0,744444.0,60272.0,30493.0
19,2019-03-12,773326.0,43255.0,105756.0,102781.0,170647.0,138563.0,140494.0,98720.0,68213.0,74821.0,17743.0,141483.0,709610.0,741126.0,63716.0,32200.0
20,2019-03-05,699480.0,28907.0,102146.0,106973.0,158284.0,110976.0,135378.0,87506.0,63885.0,68331.0,18807.0,126035.0,640486.0,667639.0,58994.0,31841.0
21,2019-02-26,742474.0,35695.0,120964.0,98706.0,199696.0,108137.0,176535.0,72305.0,56858.0,78613.0,21909.0,130290.0,684834.0,710158.0,57640.0,32316.0
22,2019-02-19,826311.0,45581.0,131153.0,99294.0,206094.0,134108.0,187298.0,78587.0,69587.0,83018.0,21101.0,150506.0,769392.0,791136.0,56919.0,35175.0
23,2019-02-12,735815.0,38917.0,112841.0,111248.0,186418.0,117948.0,150680.0,86186.0,57075.0,78176.0,16118.0,127824.0,681868.0,704410.0,53947.0,31405.0
24,2019-02-05,742347.0,38228.0,111842.0,109276.0,189748.0,120120.0,153563.0,87031.0,60139.0,80092.0,15857.0,125435.0,686853.0,710173.0,55494.0,32174.0
25,2019-01-29,731659.0,34894.0,107828.0,97985.0,169078.0,131256.0,147031.0,91227.0,59081.0,83698.0,15312.0,124046.0,677990.0,697829.0,53669.0,33830.0
26,2019-01-22,767712.0,69893.0,132071.0,98171.0,151706.0,127622.0,121311.0,87212.0,80504.0,77589.0,14749.0,133069.0,708160.0,726935.0,59553.0,40777.0
27,2019-01-15,758539.0,64355.0,126801.0,95251.0,166671.0,120893.0,132256.0,88450.0,75229.0,83538.0,14367.0,132865.0,704389.0,725277.0,54151.0,33262.0
28,2019-01-08,706555.0,33669.0,97707.0,92216.0,171951.0,111419.0,127650.0,77702.0,78880.0,84163.0,12819.0,125103.0,653100.0,675581.0,53455.0,30974.0
29,2018-12-31,705063.0,41071.0,114554.0,87528.0,180691.0,101609.0,141965.0,69254.0,71070.0,84178.0,11985.0,125693.0,653114.0,674856.0,51949.0,30207.0
30,2018-12-24,716336.0,41736.0,111776.0,88577.0,168135.0,105085.0,132126.0,75177.0,77568.0,85876.0,11470.0,135213.0,666182.0,684424.0,50154.0,31912.0
31,2018-12-18,649633.0,36358.0,100804.0,92912.0,134160.0,97691.0,112974.0,88405.0,67726.0,74706.0,11778.0,116978.0,599345.0,617541.0,50287.0,32091.0
32,2018-12-11,616571.0,35486.0,102013.0,95373.0,115366.0,91025.0,98251.0,87999.0,62251.0,73101.0,14651.0,110768.0,566256.0,584074.0,50315.0,32496.0
33,2018-12-04,602198.0,35386.0,91482.0,94297.0,101421.0,89868.0,106077.0,107616.0,56446.0,67620.0,13361.0,108108.0,557801.0,568301.0,44397.0,33897.0
34,2018-11-27,629993.0,49372.0,89662.0,104216.0,75479.0,105306.0,86219.0,138047.0,56279.0,66951.0,17641.0,112591.0,580933.0,595005.0,49060.0,34987.0
35,2018-11-20,781916.0,67244.0,114122.0,105408.0,78876.0,141673.0,91096.0,134460.0,109865.0,69065.0,21084.0,148051.0,732402.0,748131.0,49513.0,33785.0
