,Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
0,2019-07-31,16.725,16.725,16.35,16.41,0.155,16.533,6893.0,48607.0
1,2019-07-30,16.615,16.765,16.555,16.725,0.119,16.688,2581.0,47662.0
2,2019-07-29,16.42,16.5,16.36,16.485,0.043,16.44,62291.0,157530.0
3,2019-07-26,16.455,16.55,16.355,16.41,0.014,16.397,79231.0,158061.0
4,2019-07-25,16.62,16.685,16.345,16.435,0.215,16.411,119300.0,161826.0
5,2019-07-24,16.435,16.68,16.35,16.63,0.15,16.626,83573.0,161580.0
6,2019-07-23,16.38,16.575,16.205,16.43,0.065,16.476,109837.0,160025.0
7,2019-07-22,16.255,16.455,16.195,16.385,0.216,16.411,96663.0,158504.0
8,2019-07-19,16.385,16.625,16.08,16.23,0.003,16.195,171442.0,161425.0
9,2019-07-18,16.005,16.385,15.96,16.38,0.227,16.198,143592.0,163749.0
10,2019-07-17,15.585,16.03,15.555,16.005,0.293,15.971,107504.0,159975.0
11,2019-07-16,15.415,15.735,15.34,15.585,0.313,15.678,122643.0,151534.0
12,2019-07-15,15.24,15.43,15.185,15.4,0.129,15.365,66898.0,150161.0
13,2019-07-12,15.135,15.27,15.07,15.25,0.09,15.236,47899.0,151513.0
14,2019-07-11,15.265,15.345,15.12,15.14,0.08,15.146,59418.0,152985.0
15,2019-07-10,15.135,15.315,15.07,15.265,0.079,15.226,73160.0,153404.0
16,2019-07-09,15.035,15.155,14.965,15.135,0.097,15.147,49112.0,155526.0
17,2019-07-08,15.05,15.15,14.985,15.055,0.049,15.05,47355.0,159448.0
18,2019-07-05,15.365,15.37,14.915,15.015,0.335,15.001,106145.0,161018.0
19,2019-07-03,15.37,15.51,15.24,15.345,0.098,15.336,65006.0,161120.0
20,2019-07-02,15.16,15.365,15.07,15.345,0.045,15.238,70477.0,159135.0
21,2019-07-01,15.315,15.345,15.155,15.175,0.148,15.193,69037.0,158815.0
22,2019-06-28,15.3,15.385,15.245,15.355,0.047,15.341,55196.0,159049.0
23,2019-06-27,15.34,15.355,15.205,15.295,0.081,15.294,73874.0,152130.0
24,2019-06-26,15.43,15.435,15.24,15.32,0.008,15.375,74820.0,140398.0
25,2019-06-25,15.54,15.59,15.34,15.425,0.078,15.383,81752.0,126510.0
26,2019-06-24,15.445,15.54,15.37,15.51,0.091,15.461,51489.0,106169.0
27,2019-06-21,15.525,15.625,15.235,15.415,0.198,15.37,43463.0,95593.0
28,2019-06-20,15.24,15.59,15.19,15.495,0.536,15.568,56380.0,81818.0
29,2019-06-19,15.07,15.245,14.98,15.22,0.035,15.032,20482.0,74407.0
30,2019-06-18,14.895,15.155,14.875,15.065,0.165,15.067,21407.0,64908.0
31,2019-06-17,14.91,14.96,14.83,14.895,0.024,14.902,9725.0,61697.0
32,2019-06-14,14.965,15.19,14.85,14.925,0.086,14.878,14056.0,59734.0
33,2019-06-13,14.825,14.995,14.79,14.965,0.137,14.964,15535.0,52005.0
34,2019-06-12,14.795,14.93,14.785,14.83,0.012,14.827,9690.0,45817.0
35,2019-06-11,14.765,14.855,14.705,14.8,0.102,14.815,15011.0,40148.0
36,2019-06-10,15.05,15.075,14.7,14.755,0.394,14.713,12844.0,36815.0
37,2019-06-07,14.965,15.225,14.92,15.085,0.129,15.107,14378.0,31912.0
38,2019-06-06,14.86,15.065,14.8,14.95,0.116,14.978,7308.0,29972.0
39,2019-06-05,14.905,15.115,14.825,14.86,0.017,14.862,8560.0,29590.0
40,2019-06-04,14.855,14.915,14.725,14.88,0.026,14.845,7633.0,26744.0
41,2019-06-03,14.66,14.905,14.64,14.85,0.173,14.819,8654.0,25484.0
42,2019-05-31,14.575,14.75,14.54,14.63,0.077,14.646,6383.0,25163.0
43,2019-05-30,14.475,14.63,14.42,14.58,0.081,14.569,3652.0,24528.0
44,2019-05-29,14.325,14.45,14.32,14.395,0.091,14.411,70518.0,161226.0
45,2019-05-28,14.545,14.61,14.265,14.325,0.235,14.32,103270.0,157398.0
46,2019-05-24,14.575,14.595,14.52,14.545,0.058,14.555,39967.0,156308.0
47,2019-05-23,14.42,14.635,14.4,14.575,0.164,14.613,67366.0,157321.0
48,2019-05-22,14.42,14.48,14.37,14.42,0.039,14.449,36531.0,157245.0
49,2019-05-21,14.435,14.46,14.35,14.425,0.035,14.41,45439.0,158118.0
50,2019-05-20,14.395,14.46,14.355,14.445,0.057,14.445,43580.0,158207.0
51,2019-05-17,14.545,14.555,14.38,14.39,0.151,14.388,61190.0,158330.0
52,2019-05-16,14.79,14.825,14.515,14.55,0.273,14.539,67702.0,154050.0
53,2019-05-15,14.8,14.865,14.765,14.805,,14.812,42962.0,153947.0
54,2019-05-14,14.78,14.865,14.745,14.8,0.035,14.812,47205.0,155379.0
55,2019-05-13,14.775,14.815,14.615,14.775,0.013,14.777,62822.0,153920.0
56,2019-05-10,14.75,14.85,14.74,14.775,0.017,14.79,44660.0,152783.0
57,2019-05-09,14.845,14.875,14.705,14.76,0.089,14.773,58603.0,151394.0
58,2019-05-08,14.92,14.99,14.835,14.845,0.064,14.862,52378.0,151801.0
59,2019-05-07,14.91,14.955,14.81,14.925,0.001,14.926,55358.0,152542.0
60,2019-05-06,14.96,14.99,14.77,14.915,0.051,14.927,63795.0,152559.0
61,2019-05-03,14.62,14.995,14.6,14.95,0.361,14.978,83856.0,154688.0
62,2019-05-02,14.69,14.735,14.57,14.635,0.112,14.617,63378.0,153896.0
63,2019-05-01,14.975,14.985,14.62,14.685,0.255,14.729,82794.0,148543.0
64,2019-04-30,14.94,15.04,14.835,14.975,0.051,14.984,61221.0,148673.0
65,2019-04-29,15.115,15.115,14.905,14.945,0.155,14.933,64955.0,142361.0
66,2019-04-26,14.89,15.04,14.845,15.04,0.126,15.005,76053.0,33226.0
67,2019-04-25,14.91,14.975,14.815,14.885,0.037,14.879,65157.0,44613.0
68,2019-04-24,14.79,14.96,14.74,14.91,0.125,14.916,81696.0,59877.0
69,2019-04-23,14.97,14.995,14.7,14.79,0.184,14.791,84092.0,69050.0
70,2019-04-22,14.97,15.04,14.945,14.97,0.02,14.975,46229.0,81003.0
71,2019-04-18,14.94,14.99,14.895,14.965,0.016,14.955,58484.0,90547.0
72,2019-04-17,14.955,15.055,14.88,14.935,0.024,14.939,75270.0,100492.0
73,2019-04-16,14.935,14.975,14.83,14.955,0.06,14.915,68090.0,102471.0
74,2019-04-15,14.93,14.99,14.795,14.945,0.012,14.975,70568.0,103553.0
75,2019-04-12,14.92,15.065,14.9,14.93,0.096,14.963,67546.0,107832.0
76,2019-04-11,15.19,15.215,14.845,14.92,0.377,14.867,104084.0,111570.0
77,2019-04-10,15.185,15.265,15.115,15.195,0.033,15.244,62010.0,117796.0
78,2019-04-09,15.22,15.31,15.18,15.19,0.005,15.211,59427.0,122320.0
79,2019-04-08,15.075,15.275,15.075,15.22,0.13,15.216,54868.0,125337.0
80,2019-04-05,15.115,15.18,15.04,15.08,0.002,15.086,65711.0,128681.0
81,2019-04-04,15.09,15.15,14.86,15.115,0.018,15.084,71274.0,128867.0
82,2019-04-03,15.09,15.16,15.0,15.105,0.041,15.102,59574.0,129083.0
83,2019-04-02,15.085,15.09,14.905,15.085,0.038,15.061,68731.0,132897.0
84,2019-04-01,15.095,15.19,15.03,15.075,0.011,15.099,65294.0,133449.0
85,2019-03-29,14.99,15.18,14.95,15.1,0.137,15.11,69085.0,136918.0
86,2019-03-28,15.285,15.315,14.955,14.99,0.325,14.973,80952.0,134637.0
87,2019-03-27,15.395,15.41,15.205,15.22,0.131,15.245,375.0,767.0
88,2019-03-26,15.5,15.5,15.345,15.38,0.142,15.376,220.0,774.0
89,2019-03-25,15.345,15.535,15.34,15.49,0.161,15.518,136.0,777.0
90,2019-03-22,15.42,15.495,15.325,15.365,0.03,15.357,123.0,797.0
