Business_Week,Gold_Change,Gold_Settle,Gold_Volume,Gold_Prev. Day Open Interest,Date,Open Interest,Money Manager Shorts,Money Manager Longs,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Ten_Yr_Futures_Change,Ten_Yr_Futures_Settle,Ten_Yr_Futures_Volume,Ten_Yr_Futures_Prev. Day Open Interest,USD_Change,USD_Settle,USD_Volume,USD_Wave,USD_Prev. Day Open Interest,ZAR_Change,ZAR_Settle,ZAR_Volume,ZAR_Wave,ZAR_Prev. Day Open Interest
"[2006-06-07, 2006-06-13]",0.0,602.8,324.8,189517.8,2006-06-13,382474.0,30916.0,103211.0,42587.0,128892.0,0.0,105.8625,34971.6,1935826.0,1.76,85.76199999999999,7364.2,,38753.4,0.07600000000000001,6.778999999999999,65.0,,2332.4
"[2006-06-14, 2006-06-20]",0.0,570.5,78.4,191302.8,2006-06-20,390281.0,30963.0,94632.0,47440.0,126992.0,0.0,105.01875,10278.8,2003874.8,0.013000000000000067,86.2112,772.6,,37679.6,0.1175,6.9283,45.0,,2276.8
"[2006-06-21, 2006-06-27]",0.0,584.1800000000001,51.8,189599.0,2006-06-27,384321.0,32287.0,91042.0,48449.0,121890.0,0.0,104.33125,547949.0,2151127.0,0.34,86.0,5056.2,,23433.4,0.1715,7.4125,359.25,,2395.75
"[2006-06-28, 2006-07-04]",0.0,594.4,31923.666666666668,297778.0,2006-07-03,392868.0,30452.0,92545.0,48087.0,122568.0,0.0,104.53125,663508.5,2168869.75,-1.3,85.26399999999998,2935.2,,19682.8,-0.29200000000000004,7.1685,35.6,,2007.0
"[2006-07-05, 2006-07-11]",0.0,634.0,43180.2,253799.8,2006-07-11,427008.0,27624.0,104213.0,54509.0,130618.0,0.0,104.7125,791971.0,2154420.8,0.23,85.022,2823.0,,19415.6,0.096,7.1819999999999995,186.2,,2227.0
"[2006-07-12, 2006-07-18]",0.0,651.0,62027.4,173640.6,2006-07-18,443519.0,24296.0,107413.0,49863.0,131166.0,0.0,105.18125,840754.6,2072698.0,1.7000000000000002,86.06000000000002,4738.6,,18629.2,0.05999999999999999,7.2446,28.2,,2605.8
"[2006-07-19, 2006-07-25]",0.0,625.3399999999999,65120.0,139828.6,2006-07-25,432413.0,22386.0,99087.0,52859.0,133290.0,0.0,105.51875,906171.6,2047130.8,-0.32000000000000006,86.05600000000001,4580.4,,17135.4,-0.182,7.046600000000001,68.8,,2585.2
"[2006-07-26, 2006-08-01]",0.0,633.94,35560.2,42187.6,2006-08-01,394609.0,24391.0,99330.0,45161.0,135988.0,0.0,105.86875,797264.0,2070984.4,-1.59,85.27799999999999,2782.6,,15964.6,-0.05399999999999999,6.9474,150.2,,3187.0
"[2006-08-02, 2006-08-08]",0.0,646.8,224.4,25421.6,2006-08-08,402899.0,24271.0,104600.0,46203.0,142240.0,0.0,106.334375,808699.4,2190924.6,-0.33999999999999997,84.604,2668.6,,16886.0,-0.158,6.8658,64.2,,3413.0
"[2006-08-09, 2006-08-15]",0.0,633.98,211.8,24994.0,2006-08-15,402702.0,24602.0,96966.0,46986.0,139790.0,0.0,106.178125,734383.4,2258219.0,0.5700000000000001,85.07199999999999,1949.8,,18516.2,0.04950000000000003,6.8292,103.2,,3612.6
"[2006-08-16, 2006-08-22]",0.0,621.3,147.8,24866.4,2006-08-22,393425.0,25742.0,90079.0,48070.0,138621.0,0.0,106.825,792486.2,2305033.8,0.030000000000000027,84.858,2383.2,,18870.4,0.289,6.9791,83.2,,3935.0
"[2006-08-23, 2006-08-29]",0.0,618.24,144.4,23079.0,2006-08-29,390836.0,31194.0,83122.0,51201.0,136807.0,0.0,106.95625,1000051.4,2323386.4,-0.26999999999999996,85.082,1344.6,,18923.6,-0.0405,7.1696,376.4,,2162.8
"[2006-08-30, 2006-09-05]",0.0,628.9250000000001,1945.25,45417.75,2006-09-05,420442.0,27781.0,90955.0,54238.0,144515.0,0.0,107.3046875,591776.5,2269876.0,0.15999999999999998,84.89200000000001,1219.8,,19968.0,0.06299999999999999,7.1911000000000005,9.4,,2233.6
"[2006-09-06, 2006-09-12]",0.0,609.2,2803.6,224919.6,2006-09-12,403755.0,31200.0,78251.0,53732.0,133417.0,0.0,107.15,70353.2,2277428.8,0.94,85.648,6240.6,,21947.4,0.1775,7.359399999999999,137.2,,2221.0
"[2006-09-13, 2006-09-19]",0.0,582.6600000000001,1830.8,218073.0,2006-09-19,430959.0,29518.0,71695.0,61312.0,135599.0,0.0,107.196875,19200.6,2306012.0,0.014999999999999944,85.86999999999999,1136.2,,16750.0,-0.045000000000000005,7.3543,51.0,,2086.6
"[2006-09-20, 2006-09-26]",0.0,587.14,2471.6,213990.8,2006-09-26,406994.0,32558.0,70524.0,63370.0,131160.0,0.0,108.175,937843.4,2261759.8,-0.29000000000000004,85.08399999999999,2860.2,,18577.4,0.2485,7.6915,391.75,,3084.5
"[2006-09-27, 2006-10-03]",0.0,595.04,3491.6,199113.6,2006-10-03,413818.0,33259.0,67587.0,66104.0,131341.0,0.0,108.19375,912709.2,2228200.6,0.11000000000000001,85.426,3698.0,,21804.0,0.21750000000000003,7.7974000000000006,153.8,,2986.0
"[2006-10-04, 2006-10-10]",0.0,571.14,971.8,197153.4,2006-10-10,430807.0,38639.0,63659.0,72256.0,133538.0,0.0,107.921875,1165711.25,2281716.25,1.3400000000000003,86.088,3273.4,,26241.8,-0.163,7.8634,216.8,,2230.0
"[2006-10-11, 2006-10-17]",0.0,584.36,47.6,197239.8,2006-10-17,426984.0,40387.0,67141.0,71558.0,131844.0,0.0,107.00625,976683.0,2419820.4,-0.13,86.77599999999998,3128.6,,33939.8,-0.1085,7.6209999999999996,214.8,,2164.2
"[2006-10-18, 2006-10-24]",0.0,589.0,125.2,192496.8,2006-10-24,430766.0,40439.0,56144.0,75101.0,131931.0,0.0,106.94375,735809.8,2499685.2,-0.22000000000000006,86.334,3249.4,,35230.8,0.10250000000000001,7.645599999999999,42.0,,2091.2
"[2006-10-25, 2006-10-31]",0.0,599.3599999999999,18231.0,259425.0,2006-10-31,427979.0,36234.0,62544.0,67289.0,129457.0,0.0,107.653125,1017715.2,2467547.2,-1.3099999999999998,85.54400000000001,5855.4,,32494.8,-0.3435,7.511,104.6,,2181.0
"[2006-11-01, 2006-11-07]",0.0,626.3799999999999,41162.6,277806.6,2006-11-07,455640.0,30100.0,79413.0,69676.0,146344.0,0.0,107.9375,1080627.8,2420069.4,0.13,85.324,2860.6,,33675.0,-0.091,7.3969000000000005,128.0,,3202.4
"[2006-11-08, 2006-11-14]",0.0,627.26,44770.6,215488.2,2006-11-14,476072.0,27808.0,81805.0,75827.0,158575.0,0.0,108.1875,918098.4,2373777.2,-0.15999999999999998,85.08399999999999,2645.8,,34606.8,-0.062,7.285300000000001,84.8,,3241.6
"[2006-11-15, 2006-11-21]",0.0,623.76,36254.0,214858.0,2006-11-21,474432.0,27921.0,79463.0,71887.0,153358.0,0.0,108.103125,1166657.6,2353032.4,0.04000000000000001,85.256,1669.2,,33495.6,-0.032,7.268299999999999,32.8,,3604.6
"[2006-11-22, 2006-11-28]",0.0,655.85,47599.5,153599.25,2006-11-28,423676.0,29840.0,77611.0,62564.0,141730.0,0.0,108.58203125,1166028.75,2486386.5,-2.01,83.79399999999998,4293.2,,36145.4,-0.08400000000000002,7.166900000000001,80.0,,2411.0
"[2006-11-29, 2006-12-05]",0.0,642.92,6588.4,177474.8,2006-12-05,415169.0,28109.0,83017.0,56787.0,138379.0,0.0,109.190625,503803.4,2290807.0,-0.71,82.68800000000002,4183.8,,39907.8,-0.05149999999999999,7.170699999999999,325.2,,1687.8
"[2006-12-06, 2006-12-12]",0.0,629.1,271.2,199309.8,2006-12-12,411990.0,28486.0,80167.0,56527.0,138696.0,0.0,108.896875,44313.6,2245432.8,0.56,82.97,6064.4,,45323.2,-0.0995,7.056699999999999,82.4,,1552.6
"[2006-12-13, 2006-12-19]",0.0,621.02,67.8,196572.4,2006-12-19,416337.0,29269.0,69911.0,62701.0,137892.0,0.0,108.346875,14641.8,2256095.0,1.238,83.9032,1960.0,,43780.0,0.009500000000000001,6.990899999999999,80.4,,1239.6
"[2006-12-20, 2006-12-26]",0.0,620.4000000000001,146.75,195192.25,2006-12-26,415984.0,32791.0,71209.0,62269.0,139328.0,0.0,108.3671875,484666.25,2187903.25,0.57,83.737,653.75,,23270.0,0.048,7.072333333333333,278.3333333333333,,1495.3333333333333
"[2006-12-27, 2007-01-02]",0.0,655.675,14759.25,289355.0,2007-01-03,434040.0,31903.0,79570.0,59523.0,142026.0,0.0,107.6328125,393302.5,2200475.75,-0.8500000000000001,83.4125,2102.5,,28215.25,-0.165,7.059125,275.0,,1767.0
"[2007-01-03, 2007-01-09]",0.0,617.46,77862.6,215407.6,2007-01-09,426897.0,40894.0,66123.0,61731.0,126344.0,0.0,107.8625,943248.6,2299049.0,1.5499999999999998,84.212,3493.8,,27407.2,0.4245,7.2426,270.2,,2902.4
"[2007-01-10, 2007-01-16]",0.0,637.6400000000001,52144.6,175135.2,2007-01-16,421266.0,34377.0,69652.0,63169.0,129454.0,0.0,107.34375,1046754.0,2324793.5,0.32999999999999996,84.87,2522.8,,23334.2,-0.107,7.301699999999999,218.0,,2586.8
"[2007-01-17, 2007-01-23]",0.0,635.5600000000001,71294.4,203252.8,2007-01-23,457878.0,29885.0,89090.0,68321.0,148973.0,0.0,107.0625,991336.2,2350175.8,-0.37,84.69800000000001,1315.6,,20899.8,-0.11299999999999999,7.1964,168.6,,2124.4
"[2007-01-24, 2007-01-30]",0.0,645.6800000000001,69079.2,199389.2,2007-01-30,426462.0,29413.0,102396.0,55258.0,148386.0,0.0,106.53125,946069.8,2400544.6,0.38,84.92,2343.2,,22028.0,0.1875,7.3113,111.0,,2266.4
"[2007-01-31, 2007-02-06]",0.0,652.02,1012.0,208537.8,2007-02-06,449381.0,27788.0,111899.0,53021.0,158799.0,0.0,106.825,1225563.6,2419841.4,-0.22,84.648,3528.6,,23883.4,-0.14400000000000002,7.2321,181.0,,2843.4
"[2007-02-07, 2007-02-13]",0.0,660.86,170.4,218526.8,2007-02-13,482168.0,25039.0,124329.0,55706.0,171493.0,0.0,107.06875,1011607.6,2414897.4,-0.04999999999999999,84.69800000000001,2492.0,,24435.6,0.07000000000000002,7.2441,266.0,,3753.8
"[2007-02-14, 2007-02-20]",0.0,682.24,62.2,233441.0,2007-02-20,494298.0,26184.0,124341.0,55735.0,175612.0,0.0,107.5390625,1136114.75,2346413.0,-0.51,84.018,3436.4,,28651.0,-0.118,7.178400000000001,277.6,,6080.6
"[2007-02-21, 2007-02-27]",0.0,683.2800000000001,26505.0,249081.4,2007-02-27,533271.0,23707.0,139549.0,63467.0,191610.0,0.0,107.88125,1771206.0,2324057.0,-0.7,83.90799999999999,4422.0,,31090.4,0.098,7.127199999999999,601.8,,6058.4
"[2007-02-28, 2007-03-06]",0.0,653.42,106219.8,267679.8,2007-03-06,487871.0,22161.0,90785.0,67506.0,166752.0,0.0,108.7125,309321.4,2198797.0,0.63,83.77000000000001,2923.0,,32517.8,0.1635,7.3723,1149.6,,4244.4
"[2007-03-07, 2007-03-13]",0.0,652.02,72181.8,247773.2,2007-03-13,494886.0,18569.0,86558.0,73613.0,169949.0,0.0,108.7875,42642.0,2187792.6,-0.29,83.914,5946.2,,32450.4,0.066,7.3997,210.6,,1199.2
"[2007-03-14, 2007-03-20]",0.0,651.3599999999999,63162.0,242732.4,2007-03-20,467591.0,18921.0,84751.0,64307.0,159361.0,0.0,108.8,9216.0,2278135.4,-0.422,83.41319999999999,1464.4,,36208.4,-0.04300000000000001,7.4445,85.0,,980.4
"[2007-03-21, 2007-03-27]",0.0,661.58,71453.2,232221.0,2007-03-27,437206.0,19742.0,88578.0,57504.0,154666.0,0.0,108.48125,794826.8,2353691.2,0.22999999999999998,82.9256,1046.6,,23293.4,0.066,7.331625,492.5,,2582.25
