Business_Week,Week_Count,Gold_Change,Gold_Settle,Gold_Volume,Gold_Prev. Day Open Interest,Date,Open Interest,Money Manager Shorts,Money Manager Longs,Ten_Yr_Futures_Change,Ten_Yr_Futures_Settle,Ten_Yr_Futures_Volume,Ten_Yr_Futures_Prev. Day Open Interest,USD_Change,USD_Settle,USD_Volume,USD_Wave,USD_Prev. Day Open Interest,ZAR_Change,ZAR_Settle,ZAR_Volume,ZAR_Wave,ZAR_Prev. Day Open Interest
"[2006-06-07, 2006-06-13]",0,0,602.8,324.8,189517.8,6/13/2006,382474,30916,103211,0,105.8625,34971.6,1935826,1.76,85.762,7364.2,,38753.4,0.076,6.779,65,,2332.4
"[2006-06-14, 2006-06-20]",1,0,570.5,78.4,191302.8,6/20/2006,390281,30963,94632,0,105.01875,10278.8,2003874.8,0.013,86.2112,772.6,,37679.6,0.1175,6.9283,45,,2276.8
"[2006-06-21, 2006-06-27]",2,0,584.18,51.8,189599,6/27/2006,384321,32287,91042,0,104.33125,547949,2151127,0.34,86,5056.2,,23433.4,0.1715,7.4125,359.25,,2395.75
"[2006-06-28, 2006-07-04]",3,0,594.4,31923.66667,297778,7/3/2006,392868,30452,92545,0,104.53125,663508.5,2168869.75,-1.3,85.264,2935.2,,19682.8,-0.292,7.1685,35.6,,2007
"[2006-07-05, 2006-07-11]",4,0,634,43180.2,253799.8,7/11/2006,427008,27624,104213,0,104.7125,791971,2154420.8,0.23,85.022,2823,,19415.6,0.096,7.182,186.2,,2227
"[2006-07-12, 2006-07-18]",5,0,651,62027.4,173640.6,7/18/2006,443519,24296,107413,0,105.18125,840754.6,2072698,1.7,86.06,4738.6,,18629.2,0.06,7.2446,28.2,,2605.8
"[2006-07-19, 2006-07-25]",6,0,625.34,65120,139828.6,7/25/2006,432413,22386,99087,0,105.51875,906171.6,2047130.8,-0.32,86.056,4580.4,,17135.4,-0.182,7.0466,68.8,,2585.2
"[2006-07-26, 2006-08-01]",7,0,633.94,35560.2,42187.6,8/1/2006,394609,24391,99330,0,105.86875,797264,2070984.4,-1.59,85.278,2782.6,,15964.6,-0.054,6.9474,150.2,,3187
"[2006-08-02, 2006-08-08]",8,0,646.8,224.4,25421.6,8/8/2006,402899,24271,104600,0,106.334375,808699.4,2190924.6,-0.34,84.604,2668.6,,16886,-0.158,6.8658,64.2,,3413
"[2006-08-09, 2006-08-15]",9,0,633.98,211.8,24994,8/15/2006,402702,24602,96966,0,106.178125,734383.4,2258219,0.57,85.072,1949.8,,18516.2,0.0495,6.8292,103.2,,3612.6
"[2006-08-16, 2006-08-22]",10,0,621.3,147.8,24866.4,8/22/2006,393425,25742,90079,0,106.825,792486.2,2305033.8,0.03,84.858,2383.2,,18870.4,0.289,6.9791,83.2,,3935
"[2006-08-23, 2006-08-29]",11,0,618.24,144.4,23079,8/29/2006,390836,31194,83122,0,106.95625,1000051.4,2323386.4,-0.27,85.082,1344.6,,18923.6,-0.0405,7.1696,376.4,,2162.8
"[2006-08-30, 2006-09-05]",12,0,628.925,1945.25,45417.75,9/5/2006,420442,27781,90955,0,107.3046875,591776.5,2269876,0.16,84.892,1219.8,,19968,0.063,7.1911,9.4,,2233.6
"[2006-09-06, 2006-09-12]",13,0,609.2,2803.6,224919.6,9/12/2006,403755,31200,78251,0,107.15,70353.2,2277428.8,0.94,85.648,6240.6,,21947.4,0.1775,7.3594,137.2,,2221
"[2006-09-13, 2006-09-19]",14,0,582.66,1830.8,218073,9/19/2006,430959,29518,71695,0,107.196875,19200.6,2306012,0.015,85.87,1136.2,,16750,-0.045,7.3543,51,,2086.6
"[2006-09-20, 2006-09-26]",15,0,587.14,2471.6,213990.8,9/26/2006,406994,32558,70524,0,108.175,937843.4,2261759.8,-0.29,85.084,2860.2,,18577.4,0.2485,7.6915,391.75,,3084.5
"[2006-09-27, 2006-10-03]",16,0,595.04,3491.6,199113.6,10/3/2006,413818,33259,67587,0,108.19375,912709.2,2228200.6,0.11,85.426,3698,,21804,0.2175,7.7974,153.8,,2986
"[2006-10-04, 2006-10-10]",17,0,571.14,971.8,197153.4,10/10/2006,430807,38639,63659,0,107.921875,1165711.25,2281716.25,1.34,86.088,3273.4,,26241.8,-0.163,7.8634,216.8,,2230
"[2006-10-11, 2006-10-17]",18,0,584.36,47.6,197239.8,10/17/2006,426984,40387,67141,0,107.00625,976683,2419820.4,-0.13,86.776,3128.6,,33939.8,-0.1085,7.621,214.8,,2164.2
