Date,Day of Week,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
7/19/2019,Friday,1448.4,1454.5,1421.1,1426.6,1.4,1426.7,38071,7504
7/18/2019,Thursday,1431.6,1450,1415.7,1447.5,4.8,1428.1,35386,7697
7/17/2019,Wednesday,1407.8,1428.3,1400.7,1428.1,12.1,1423.3,24880,8420
7/16/2019,Tuesday,1416.3,1420,1402.1,1407.7,2.3,1411.2,23054,8265
7/15/2019,Monday,1421,1421.5,1409.2,1416,1.3,1413.5,19389,8074
7/12/2019,Friday,1405.6,1419,1404.5,1417.6,5.5,1412.2,22569,8623
7/11/2019,Thursday,1421.1,1429.2,1402.7,1405.7,5.8,1406.7,26687,8333
7/10/2019,Wednesday,1399.9,1421.1,1391.8,1421.1,12,1412.5,28315,8781
7/9/2019,Tuesday,1397.9,1402.1,1387.6,1399.6,0.5,1400.5,20601,8632
7/8/2019,Monday,1400.9,1409.9,1393.8,1397.5,0.1,1400,23318,8418
7/5/2019,Friday,1421.9,1427,1388,1401.5,20.8,1400.1,45549,6863
7/3/2019,Wednesday,1424.9,1440.7,1414.8,1421.7,12.9,1420.9,36953,6559
7/2/2019,Tuesday,1386.8,1424,1386.4,1421.4,18.7,1408,26837,7459
7/1/2019,Monday,1407,1407.3,1380,1387,24.4,1389.3,31305,7809
6/28/2019,Friday,1413,1427.7,1408.6,1412.4,1.7,1413.7,31970,7981
6/27/2019,Thursday,1412.9,1415.2,1401.6,1413,3.4,1412,31809,7378
6/26/2019,Wednesday,1406.1,1408.4,1403.6,1408.4,3.3,1411.6,47,1350
6/25/2019,Tuesday,1418.5,1424.4,1418.5,1424.4,0.6,1414.9,3,1383
6/24/2019,Monday,1419,1421,1419,1421,18.1,1414.3,3,1380
6/21/2019,Friday,1393.3,1393.3,1388,1388,3.3,1396.2,3,1383
6/20/2019,Thursday,,1378,,1378,48.3,1392.9,0,1383
6/19/2019,Wednesday,,,,,2,1344.6,0,1383
6/18/2019,Tuesday,1351.6,1351.6,1343,1343,7.9,1346.6,7,1385
6/17/2019,Monday,,,,,1.4,1338.7,0,1385
6/14/2019,Friday,1346,1351.1,1346,1351.1,0.9,1340.1,11,1386
6/13/2019,Thursday,1338.9,1338.9,1338.9,1338.9,7.3,1339.2,2,1388
