,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
3,2019-07-26,1531.0,1543.6204833984375,,-5.9268798828125,-1.0,,
8,2019-07-19,1508.3,1549.54736328125,22.700000000000045,18.4493408203125,1.0,22.700000000000045,280.8000000000004
13,2019-07-12,1542.4,1531.0980224609375,-34.100000000000136,99.8209228515625,1.0,-34.100000000000136,258.10000000000036
18,2019-07-05,1564.2,1431.277099609375,-21.799999999999955,0.0,0.0,-0.0,292.2000000000005
22,2019-06-28,1537.6,1431.277099609375,26.600000000000136,86.9085693359375,1.0,26.600000000000136,292.2000000000005
27,2019-06-21,1491.3,1344.3685302734375,46.299999999999955,14.1263427734375,1.0,46.299999999999955,265.60000000000036
32,2019-06-14,1452.7,1330.2421875,38.59999999999991,10.53955078125,1.0,38.59999999999991,219.3000000000004
37,2019-06-07,1349.5,1319.70263671875,103.20000000000005,-4.04296875,-1.0,-103.20000000000005,180.7000000000005
42,2019-05-31,1333.9,1323.74560546875,15.599999999999909,4.812255859375,1.0,15.599999999999909,283.90000000000055
46,2019-05-24,1330.4,1318.933349609375,3.5,-19.38916015625,-1.0,-3.5,268.30000000000064
51,2019-05-17,1310.5,1338.322509765625,19.90000000000009,-59.0064697265625,-1.0,-19.90000000000009,271.80000000000064
56,2019-05-10,1355.4,1397.3289794921875,-44.90000000000009,20.0697021484375,1.0,-44.90000000000009,291.7000000000007
61,2019-05-03,1362.7,1377.25927734375,-7.2999999999999545,42.841796875,1.0,-7.2999999999999545,336.6000000000008
66,2019-04-26,1452.2,1334.41748046875,-89.5,-37.280517578125,-1.0,89.5,343.9000000000008
75,2019-04-12,1355.2,1371.697998046875,97.0,-183.50927734375,-1.0,-97.0,254.40000000000077
80,2019-04-05,1349.1,1555.207275390625,6.100000000000136,14.391357421875,1.0,6.100000000000136,351.4000000000008
85,2019-03-29,1345.0,1540.81591796875,4.099999999999909,39.1370849609375,1.0,4.099999999999909,345.30000000000064
90,2019-03-22,1535.9,1501.6788330078125,-190.9000000000001,-8.0919189453125,-1.0,190.9000000000001,341.2000000000007
95,2019-03-15,1535.6,1509.770751953125,0.3000000000001819,41.0,1.0,0.3000000000001819,150.30000000000064
100,2019-03-08,1489.0,1468.770751953125,46.59999999999991,70.803955078125,1.0,46.59999999999991,150.00000000000045
105,2019-03-01,1536.6,1397.966796875,-47.59999999999991,39.88671875,1.0,-47.59999999999991,103.40000000000055
110,2019-02-22,1462.2,1358.080078125,74.39999999999986,45.6988525390625,1.0,74.39999999999986,151.00000000000045
114,2019-02-15,1407.2,1312.3812255859375,55.0,25.223388671875,1.0,55.0,76.60000000000059
119,2019-02-08,1371.2,1287.1578369140625,36.0,-24.858642578125,-1.0,-36.0,21.60000000000059
124,2019-02-01,1313.6,1312.0164794921875,57.600000000000136,50.19873046875,1.0,57.600000000000136,57.60000000000059
129,2019-01-25,1319.8,1261.8177490234375,-6.2000000000000455,48.266357421875,1.0,-6.2000000000000455,4.547473508864641e-13
133,2019-01-18,1335.1,1213.5513916015625,-15.299999999999955,12.99267578125,1.0,-15.299999999999955,6.2000000000005
138,2019-01-11,1278.7,1200.5587158203125,56.399999999999864,-7.344482421875,-1.0,-56.399999999999864,21.500000000000455
143,2019-01-04,1234.4,1207.9031982421875,44.299999999999955,12.574462890625,1.0,44.299999999999955,77.90000000000032
147,2018-12-28,1183.4,1195.3287353515625,51.0,19.8836669921875,1.0,51.0,33.600000000000364
151,2018-12-21,1207.7,1175.445068359375,-24.299999999999955,17.0013427734375,1.0,-24.299999999999955,-17.399999999999636
156,2018-12-14,1198.6,1158.4437255859375,9.100000000000136,49.033203125,1.0,9.100000000000136,6.900000000000318
161,2018-12-07,1196.4,1109.4105224609375,2.199999999999818,-10.9271240234375,-1.0,-2.199999999999818,-2.199999999999818
166,2018-11-30,1168.6,1120.337646484375,27.800000000000182,,,,
