Business_Week,Palladium_Change,Palladium_Settle,Palladium_Volume,Palladium_Prev. Day Open Interest,Date,Open Interest,Money Manager Shorts,Money Manager Longs,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Ten_Yr_Futures_Change,Ten_Yr_Futures_Settle,Ten_Yr_Futures_Volume,Ten_Yr_Futures_Prev. Day Open Interest,USD_Change,USD_Settle,USD_Volume,USD_Wave,USD_Prev. Day Open Interest,ZAR_Change,ZAR_Settle,ZAR_Volume,ZAR_Wave,ZAR_Prev. Day Open Interest
"[2006-06-07, 2006-06-13]",0.0,312.54,218.6,,2006-06-13,14355.0,1686.0,5375.0,891.0,7083.0,0.0,105.8625,34971.6,1935826.0,1.76,85.76199999999999,7364.2,,38753.4,0.07600000000000001,6.778999999999999,65.0,,2332.4
"[2006-06-14, 2006-06-20]",0.0,296.8,21.2,,2006-06-20,13681.0,1545.0,5138.0,955.0,7358.0,0.0,105.01875,10278.8,2003874.8,0.013000000000000067,86.2112,772.6,,37679.6,0.1175,6.9283,45.0,,2276.8
"[2006-06-21, 2006-06-27]",0.0,311.09000000000003,22.0,,2006-06-27,13149.0,2000.0,5360.0,881.0,7110.0,0.0,104.33125,547949.0,2151127.0,0.34,86.0,5056.2,,23433.4,0.1715,7.4125,359.25,,2395.75
"[2006-06-28, 2006-07-04]",0.0,316.56666666666666,722.6666666666666,,2006-07-03,13423.0,2040.0,5734.0,871.0,7109.0,0.0,104.53125,663508.5,2168869.75,-1.3,85.26399999999998,2935.2,,19682.8,-0.29200000000000004,7.1685,35.6,,2007.0
"[2006-07-05, 2006-07-11]",0.0,328.08000000000004,721.2,,2006-07-11,13895.0,2042.0,6219.0,848.0,7413.0,0.0,104.7125,791971.0,2154420.8,0.23,85.022,2823.0,,19415.6,0.096,7.1819999999999995,186.2,,2227.0
"[2006-07-12, 2006-07-18]",0.0,326.98,849.0,,2006-07-18,14132.0,2064.0,6617.0,1034.0,7538.0,0.0,105.18125,840754.6,2072698.0,1.7000000000000002,86.06000000000002,4738.6,,18629.2,0.05999999999999999,7.2446,28.2,,2605.8
"[2006-07-19, 2006-07-25]",0.0,314.97999999999996,1323.6,,2006-07-25,14535.0,2064.0,6643.0,1071.0,7504.0,0.0,105.51875,906171.6,2047130.8,-0.32000000000000006,86.05600000000001,4580.4,,17135.4,-0.182,7.046600000000001,68.8,,2585.2
"[2006-07-26, 2006-08-01]",0.0,318.12,1280.4,,2006-08-01,13587.0,2064.0,5876.0,934.0,7402.0,0.0,105.86875,797264.0,2070984.4,-1.59,85.27799999999999,2782.6,,15964.6,-0.05399999999999999,6.9474,150.2,,3187.0
"[2006-08-02, 2006-08-08]",0.0,326.47999999999996,2236.4,,2006-08-08,12388.0,1587.0,4419.0,988.0,6716.0,0.0,106.334375,808699.4,2190924.6,-0.33999999999999997,84.604,2668.6,,16886.0,-0.158,6.8658,64.2,,3413.0
"[2006-08-09, 2006-08-15]",0.0,322.95,1878.8,,2006-08-15,12911.0,1087.0,4497.0,1077.0,7494.0,0.0,106.178125,734383.4,2258219.0,0.5700000000000001,85.07199999999999,1949.8,,18516.2,0.04950000000000003,6.8292,103.2,,3612.6
