,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
3,2019-07-26,862.7,831.3965454101562,,16.82440185546875,1.0,,
8,2019-07-19,845.9,814.5721435546875,16.800000000000068,-5.75347900390625,-1.0,-16.800000000000068,43.39999999999975
13,2019-07-12,828.4,820.3256225585938,17.5,51.6695556640625,1.0,17.5,60.19999999999982
18,2019-07-05,805.2,768.6560668945312,23.199999999999932,0.0,0.0,0.0,42.69999999999982
22,2019-06-28,835.5,768.6560668945312,-30.299999999999955,-16.91204833984375,-1.0,30.299999999999955,42.69999999999982
27,2019-06-21,811.0,785.568115234375,24.5,-19.012451171875,-1.0,-24.5,12.399999999999864
32,2019-06-14,804.7,804.58056640625,6.2999999999999545,6.22662353515625,1.0,6.2999999999999545,36.899999999999864
37,2019-06-07,806.1,798.3539428710938,-1.3999999999999773,-28.1531982421875,-1.0,1.3999999999999773,30.59999999999991
42,2019-05-31,794.2,826.5071411132812,11.899999999999977,-30.24798583984375,-1.0,-11.899999999999977,29.199999999999932
46,2019-05-24,800.6,856.755126953125,-6.399999999999977,-12.65753173828125,-1.0,6.399999999999977,41.09999999999991
51,2019-05-17,818.4,869.4126586914062,-17.799999999999955,-29.11627197265625,-1.0,17.799999999999955,34.69999999999993
56,2019-05-10,862.4,898.5289306640625,-44.0,1.1827392578125,1.0,-44.0,16.899999999999977
61,2019-05-03,871.6,897.34619140625,-9.200000000000045,3.8404541015625,1.0,-9.200000000000045,60.89999999999998
66,2019-04-26,898.2,893.5057373046875,-26.600000000000023,41.3916015625,1.0,-26.600000000000023,70.10000000000002
75,2019-04-12,893.2,852.1141357421875,5.0,-5.5992431640625,-1.0,-5.0,96.70000000000005
80,2019-04-05,901.0,857.71337890625,-7.7999999999999545,33.13629150390625,1.0,-7.7999999999999545,101.70000000000005
85,2019-03-29,848.9,824.5770874023438,52.10000000000002,18.28009033203125,1.0,52.10000000000002,109.5
90,2019-03-22,847.2,806.2969970703125,1.6999999999999318,-35.7623291015625,-1.0,-1.6999999999999318,57.39999999999998
95,2019-03-15,830.3,842.059326171875,16.90000000000009,4.69366455078125,1.0,16.90000000000009,59.09999999999991
100,2019-03-08,816.0,837.3656616210938,14.299999999999955,38.58343505859375,1.0,14.299999999999955,42.19999999999982
105,2019-03-01,861.6,798.7822265625,-45.60000000000002,11.97198486328125,1.0,-45.60000000000002,27.899999999999864
110,2019-02-22,843.7,786.8102416992188,17.899999999999977,-25.880859375,-1.0,-17.899999999999977,73.49999999999989
114,2019-02-15,805.3,812.6911010742188,38.40000000000009,11.993408203125,1.0,38.40000000000009,91.39999999999986
119,2019-02-08,801.7,800.6976928710938,3.599999999999909,15.3192138671875,1.0,3.599999999999909,52.99999999999977
124,2019-02-01,824.9,785.3784790039062,-23.199999999999932,-19.7086181640625,-1.0,23.199999999999932,49.399999999999864
129,2019-01-25,813.5,805.0870971679688,11.399999999999977,-2.46142578125,-1.0,-11.399999999999977,26.199999999999932
133,2019-01-18,797.8,807.5485229492188,15.700000000000045,5.09197998046875,1.0,15.700000000000045,37.59999999999991
138,2019-01-11,813.0,802.45654296875,-15.200000000000045,3.90557861328125,1.0,-15.200000000000045,21.899999999999864
143,2019-01-04,822.0,798.5509643554688,-9.0,-0.82525634765625,-1.0,9.0,37.09999999999991
147,2018-12-28,789.6,799.376220703125,32.39999999999998,1.1346435546875,1.0,32.39999999999998,28.09999999999991
151,2018-12-21,795.8,798.2415771484375,-6.199999999999932,-22.52874755859375,-1.0,6.199999999999932,-4.300000000000068
156,2018-12-14,785.3,820.7703247070312,10.5,-29.23663330078125,-1.0,-10.5,-10.5
161,2018-12-07,790.4,850.0069580078125,-5.100000000000023,,,,
