,Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
0,2019-07-31,16.585,16.6,16.215,16.28,0.153,16.405,106072.0,159053.0
1,2019-07-30,16.5,16.64,16.425,16.59,0.11800000000000001,16.558,57088.0,158008.0
2,2019-07-29,,,,,0.043,16.368,65.0,22.0
3,2019-07-26,16.42,16.425,16.42,16.425,0.013999999999999999,16.325,25.0,77.0
4,2019-07-25,16.4,16.415,16.36,16.415,0.215,16.339000000000002,64.0,113.0
5,2019-07-24,16.3,16.31,16.3,16.31,0.149,16.554000000000002,45.0,156.0
6,2019-07-23,,,,,0.065,16.405,73.0,399.0
7,2019-07-22,16.295,16.295,16.29,16.29,0.223,16.34,161.0,322.0
8,2019-07-19,16.275,16.505,16.115,16.115,0.003,16.117,68.0,276.0
9,2019-07-18,15.98,16.055,15.98,16.04,0.22699999999999998,16.12,61.0,404.0
10,2019-07-17,15.73,15.8,15.73,15.785,0.293,15.892999999999999,85.0,414.0
11,2019-07-16,15.295,15.645,15.295,15.645,0.31,15.6,41.0,520.0
12,2019-07-15,15.26,15.285,15.26,15.26,0.129,15.29,16.0,533.0
13,2019-07-12,15.075,15.185,15.01,15.185,0.094,15.161,7.0,550.0
14,2019-07-11,15.225,15.23,15.105,15.105,0.08,15.067,36.0,541.0
15,2019-07-10,15.055,15.055,15.0,15.04,0.079,15.147,5.0,554.0
16,2019-07-09,15.045,15.045,14.945,15.045,0.096,15.068,1.0,729.0
17,2019-07-08,14.965,15.06,14.91,14.95,0.054000000000000006,14.972000000000001,23.0,754.0
18,2019-07-05,15.245,15.29,14.885,14.95,0.33399999999999996,14.918,107.0,727.0
19,2019-07-03,15.42,15.42,15.185,15.23,0.098,15.252,12.0,742.0
20,2019-07-02,15.125,15.2,14.995,15.155,0.048,15.154000000000002,132.0,950.0
21,2019-07-01,15.17,15.245,15.075,15.085,0.147,15.106,227.0,1410.0
22,2019-06-28,15.22,15.295,15.165,15.27,0.048,15.253,842.0,3866.0
23,2019-06-27,15.275,15.275,15.12,15.21,0.08900000000000001,15.205,21497.0,13501.0
24,2019-06-26,15.345,15.355,15.16,15.24,0.006,15.294,91293.0,31827.0
25,2019-06-25,15.44,15.505,15.255,15.35,0.077,15.3,138158.0,52987.0
26,2019-06-24,15.355,15.455,15.285,15.425,0.087,15.377,111018.0,74780.0
27,2019-06-21,15.465,15.555,15.155,15.34,0.20199999999999999,15.29,141466.0,93661.0
28,2019-06-20,15.17,15.52,15.12,15.415,0.534,15.492,199691.0,110267.0
29,2019-06-19,14.995,15.17,14.905,15.15,0.035,14.958,86834.0,117913.0
30,2019-06-18,14.83,15.08,14.8,14.99,0.16399999999999998,14.993,105028.0,121837.0
31,2019-06-17,14.84,14.89,14.755,14.825,0.026000000000000002,14.829,63793.0,125005.0
32,2019-06-14,14.89,15.12,14.775,14.85,0.08900000000000001,14.802999999999999,111175.0,128554.0
33,2019-06-13,14.76,14.925,14.72,14.895,0.139,14.892000000000001,74269.0,134827.0
34,2019-06-12,14.725,14.86,14.71,14.76,0.013000000000000001,14.753,70981.0,137853.0
35,2019-06-11,14.685,14.785,14.63,14.725,0.10099999999999999,14.74,78384.0,141848.0
36,2019-06-10,15.005,15.01,14.625,14.685,0.392,14.639000000000001,92886.0,147524.0
37,2019-06-07,14.89,15.15,14.84,15.01,0.126,15.030999999999999,100722.0,151235.0
38,2019-06-06,14.795,14.995,14.73,14.88,0.114,14.905,78322.0,150841.0
39,2019-06-05,14.815,15.04,14.755,14.795,0.022000000000000002,14.790999999999999,128339.0,151488.0
40,2019-06-04,14.78,14.85,14.645,14.81,0.028999999999999998,14.769,92789.0,152156.0
41,2019-06-03,14.575,14.825,14.565,14.775,0.17300000000000001,14.74,108056.0,150548.0
42,2019-05-31,14.49,14.67,14.46,14.56,0.076,14.567,86177.0,153595.0
43,2019-05-30,14.39,14.555,14.34,14.505,0.08,14.491,57608.0,155224.0
44,2019-05-29,,,,,0.091,14.372,1.0,195.0
45,2019-05-28,14.3,14.31,14.245,14.28,0.239,14.280999999999999,73.0,219.0
46,2019-05-24,14.55,14.55,14.525,14.525,0.057,14.52,17.0,209.0
47,2019-05-23,14.545,14.545,14.54,14.54,0.163,14.577,4.0,257.0
48,2019-05-22,14.4,14.425,14.39,14.405,0.040999999999999995,14.414000000000001,105.0,225.0
49,2019-05-21,14.405,14.405,14.325,14.325,0.036000000000000004,14.373,49.0,227.0
50,2019-05-20,14.365,14.42,14.34,14.4,0.061,14.409,13.0,287.0
51,2019-05-17,14.485,14.58,14.345,14.36,0.131,14.347999999999999,156.0,353.0
52,2019-05-16,14.755,14.755,14.44,14.47,0.273,14.479000000000001,241.0,298.0
53,2019-05-15,14.755,14.765,14.735,14.76,,14.752,4.0,295.0
54,2019-05-14,14.71,14.76,14.71,14.74,0.039,14.752,1.0,307.0
55,2019-05-13,14.72,14.72,14.585,14.69,0.013000000000000001,14.713,27.0,323.0
56,2019-05-10,14.72,14.76,14.69,14.72,0.019,14.725999999999999,22.0,328.0
57,2019-05-09,14.705,14.8,14.67,14.7,0.085,14.707,16.0,366.0
58,2019-05-08,14.89,14.915,14.785,14.785,0.068,14.792,85.0,499.0
59,2019-05-07,14.85,14.875,14.75,14.865,0.003,14.86,150.0,621.0
60,2019-05-06,14.87,14.92,14.71,14.86,0.05,14.857000000000001,82.0,671.0
61,2019-05-03,14.56,14.9,14.545,14.87,0.36700000000000005,14.907,242.0,1011.0
62,2019-05-02,14.6,14.645,14.525,14.575,0.105,14.54,796.0,1123.0
63,2019-05-01,14.885,14.9,14.545,14.6,0.255,14.645,565.0,2243.0
64,2019-04-30,14.87,14.96,14.76,14.9,0.055999999999999994,14.9,690.0,3362.0
65,2019-04-29,15.03,15.035,14.82,14.85,0.161,14.844000000000001,18270.0,13767.0
66,2019-04-26,,,,,0.141,15.002,0.0,1.0
67,2019-04-25,14.885,14.885,14.885,14.885,0.037000000000000005,14.860999999999999,1.0,1.0
68,2019-04-24,,,,,0.125,14.898,0.0,1.0
69,2019-04-23,,,,,0.184,14.773,0.0,1.0
70,2019-04-22,,,,,0.02,14.957,0.0,1.0
71,2019-04-18,14.89,14.9,14.89,14.9,0.016,14.937000000000001,1.0,0.0
72,2019-04-17,,,,,0.03,14.921,0.0,0.0
73,2019-04-16,,,,,0.057,14.890999999999998,0.0,0.0
74,2019-04-15,,,14.91,14.91,0.027999999999999997,14.948,0.0,1.0
75,2019-04-12,,,,,0.096,14.92,3.0,1.0
76,2019-04-11,15.14,15.14,15.14,15.14,0.377,14.824000000000002,1.0,16.0
77,2019-04-10,15.17,15.205,15.095,15.205,0.033,15.200999999999999,18.0,16.0
78,2019-04-09,15.26,15.26,15.26,15.26,0.005,15.168,1.0,15.0
79,2019-04-08,,,,,0.13,15.173,0.0,75.0
80,2019-04-05,,,,,0.002,15.043,0.0,75.0
81,2019-04-04,,15.08,14.835,14.99,0.018000000000000002,15.040999999999999,0.0,77.0
82,2019-04-03,15.02,15.11,14.97,15.065,0.040999999999999995,15.059000000000001,2.0,97.0
83,2019-04-02,14.94,15.025,14.925,15.025,0.033,15.017999999999999,36.0,197.0
84,2019-04-01,15.035,15.135,14.99,15.025,0.009000000000000001,15.050999999999998,55.0,572.0
85,2019-03-29,14.93,15.12,14.905,15.05,0.139,15.06,23.0,706.0
86,2019-03-28,15.23,15.255,14.905,14.935,0.324,14.921,343.0,666.0
87,2019-03-27,,,,,0.132,15.239,0.0,40.0
88,2019-03-26,15.4,15.42,15.385,15.39,0.136,15.370999999999999,45.0,44.0
89,2019-03-25,15.515,15.515,15.5,15.5,0.162,15.507,6.0,44.0
90,2019-03-22,,,,,0.027000000000000003,15.345,0.0,45.0
91,2019-03-21,15.52,15.52,15.41,15.41,0.127,15.372,3.0,101.0
92,2019-03-20,15.285,15.29,15.22,15.22,0.055999999999999994,15.245,94.0,84.0
93,2019-03-19,15.315,15.315,15.3,15.3,0.05,15.300999999999998,21.0,65.0
94,2019-03-18,,,,,0.002,15.251,0.0,65.0
95,2019-03-15,15.245,15.255,15.22,15.22,0.152,15.253,5.0,75.0
96,2019-03-14,15.185,15.185,15.09,15.11,0.28,15.100999999999999,20.0,197.0
97,2019-03-13,15.375,15.42,15.37,15.42,0.043,15.380999999999998,110.0,417.0
98,2019-03-12,15.38,15.4,15.38,15.38,0.141,15.338,23.0,414.0
99,2019-03-11,15.215,15.215,15.2,15.2,0.075,15.197000000000001,16.0,410.0
100,2019-03-08,15.045,15.265,15.045,15.265,0.312,15.272,11.0,535.0
101,2019-03-07,15.025,15.04,14.92,14.96,0.043,14.96,8.0,554.0
102,2019-03-06,15.025,15.025,14.975,14.975,0.017,15.003,25.0,906.0
103,2019-03-05,15.025,15.085,15.005,15.07,0.003,15.02,222.0,845.0
104,2019-03-04,15.17,15.205,14.995,15.015,0.152,15.017000000000001,317.0,1124.0
105,2019-03-01,15.555,15.575,15.08,15.155,0.369,15.169,585.0,1435.0
106,2019-02-28,15.675,15.765,15.52,15.55,0.134,15.538,1031.0,4642.0
107,2019-02-27,15.89,15.92,15.645,15.68,0.16,15.672,16847.0,15317.0
108,2019-02-26,15.845,15.89,15.74,15.885,0.002,15.832,57148.0,29736.0
109,2019-02-25,15.885,15.96,15.805,15.845,0.084,15.83,65968.0,41470.0
110,2019-02-22,15.77,15.935,15.76,15.885,0.113,15.914000000000001,67695.0,53083.0
111,2019-02-21,16.025,16.08,15.75,15.77,0.376,15.800999999999998,99286.0,70821.0
112,2019-02-20,15.96,16.195,15.935,16.025,0.21,16.177,111869.0,87384.0
113,2019-02-19,15.76,15.98,15.715,15.965,0.22399999999999998,15.967,111836.0,99300.0
114,2019-02-15,15.59,15.775,15.525,15.755,0.215,15.743,70919.0,107410.0
115,2019-02-14,15.555,15.65,15.445,15.59,0.124,15.527999999999999,77364.0,113902.0
116,2019-02-13,15.685,15.8,15.52,15.55,0.038,15.652000000000001,74256.0,117750.0
117,2019-02-12,15.7,15.82,15.65,15.69,,15.69,59030.0,122349.0
118,2019-02-11,15.805,15.83,15.655,15.695,0.11900000000000001,15.69,51185.0,125906.0
119,2019-02-08,15.74,15.86,15.65,15.825,0.096,15.809000000000001,54240.0,128468.0
120,2019-02-07,15.66,15.75,15.635,15.735,0.012,15.713,57228.0,131912.0
121,2019-02-06,15.84,15.87,15.64,15.67,0.135,15.700999999999999,51596.0,134486.0
122,2019-02-05,15.88,15.93,15.815,15.855,0.05,15.835999999999999,43952.0,138000.0
123,2019-02-04,15.92,15.935,15.685,15.87,0.045,15.886,59778.0,140327.0
124,2019-02-01,16.06,16.08,15.9,15.91,0.141,15.931,68114.0,141956.0
125,2019-01-31,16.105,16.2,16.005,16.065,0.145,16.072,78056.0,140207.0
126,2019-01-30,15.845,16.12,15.825,16.08,0.08800000000000001,15.927,79721.0,139346.0
127,2019-01-29,,,,,0.077,15.786,2.0,357.0
128,2019-01-28,15.595,15.695,15.595,15.695,0.07,15.709000000000001,7.0,358.0
129,2019-01-25,15.25,15.25,15.25,15.25,0.401,15.639000000000001,7.0,356.0
130,2019-01-24,15.27,15.27,15.27,15.27,0.079,15.238,7.0,359.0
131,2019-01-23,15.31,15.32,15.28,15.29,0.057999999999999996,15.317,10.0,357.0
132,2019-01-22,15.295,15.295,15.14,15.295,0.071,15.259,16.0,367.0
133,2019-01-18,15.32,15.32,15.29,15.29,0.13699999999999998,15.33,14.0,377.0
134,2019-01-17,15.51,15.51,15.485,15.485,0.09699999999999999,15.467,27.0,481.0
