,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
3,2019-07-26,16.325,15.592144012451172,,0.38715457916259766,1.0,,
8,2019-07-19,16.117,15.204989433288574,0.2079999999999984,-0.21171855926513672,-1.0,-0.2079999999999984,2.5720000000000063
13,2019-07-12,15.161,15.416707992553711,0.9560000000000013,0.8252668380737305,1.0,0.9560000000000013,2.7800000000000047
18,2019-07-05,14.918,14.59144115447998,0.24300000000000033,0.0,0.0,0.0,1.8240000000000034
22,2019-06-28,15.253,14.59144115447998,-0.33500000000000085,-0.024799346923828125,-1.0,0.33500000000000085,1.8240000000000034
27,2019-06-21,15.29,14.616240501403809,-0.036999999999999034,0.2035045623779297,1.0,-0.036999999999999034,1.4890000000000025
32,2019-06-14,14.802999999999999,14.412735939025879,0.4870000000000001,0.32608604431152344,1.0,0.4870000000000001,1.5260000000000016
37,2019-06-07,15.030999999999999,14.086649894714355,-0.22799999999999976,-0.055759429931640625,-1.0,0.22799999999999976,1.0390000000000015
42,2019-05-31,14.567,14.142409324645996,0.46399999999999864,-0.36705493927001953,-1.0,-0.46399999999999864,0.8110000000000017
46,2019-05-24,14.52,14.509464263916016,0.0470000000000006,-0.08243846893310547,-1.0,-0.0470000000000006,1.2750000000000004
51,2019-05-17,14.347999999999999,14.591902732849121,0.1720000000000006,-0.3263092041015625,-1.0,-0.1720000000000006,1.322000000000001
56,2019-05-10,14.725999999999999,14.918211936950684,-0.3780000000000001,0.21989727020263672,1.0,-0.3780000000000001,1.4940000000000015
61,2019-05-03,14.907,14.698314666748047,-0.18100000000000094,-0.12757015228271484,-1.0,0.18100000000000094,1.8720000000000017
66,2019-04-26,15.002,14.825884819030762,-0.09500000000000064,-0.38701629638671875,-1.0,0.09500000000000064,1.6910000000000007
75,2019-04-12,14.92,15.21290111541748,0.08200000000000074,-0.37880706787109375,-1.0,-0.08200000000000074,1.596
80,2019-04-05,15.043,15.591708183288574,-0.12299999999999933,0.12261199951171875,1.0,-0.12299999999999933,1.6780000000000008
85,2019-03-29,15.06,15.469096183776855,-0.017000000000001236,0.030691146850585938,1.0,-0.017000000000001236,1.8010000000000002
90,2019-03-22,15.345,15.43840503692627,-0.28500000000000014,-0.21887969970703125,-1.0,0.28500000000000014,1.8180000000000014
95,2019-03-15,15.253,15.6572847366333,0.09200000000000053,-0.692418098449707,-1.0,-0.09200000000000053,1.5330000000000013
100,2019-03-08,15.272,16.349702835083008,-0.019000000000000128,0.31546783447265625,1.0,-0.019000000000000128,1.6250000000000018
105,2019-03-01,15.169,16.03423500061035,0.10299999999999976,-0.08793830871582031,-1.0,-0.10299999999999976,1.644000000000002
110,2019-02-22,15.914000000000001,16.122173309326172,-0.745000000000001,-0.2981700897216797,-1.0,0.745000000000001,1.7470000000000017
114,2019-02-15,15.743,16.42034339904785,0.17100000000000115,0.4094810485839844,1.0,0.17100000000000115,1.0020000000000007
119,2019-02-08,15.809000000000001,16.010862350463867,-0.06600000000000072,0.1899738311767578,1.0,-0.06600000000000072,0.8309999999999995
124,2019-02-01,15.931,15.82088851928711,-0.12199999999999811,-0.24399948120117188,-1.0,0.12199999999999811,0.8970000000000002
129,2019-01-25,15.639000000000001,16.06488800048828,0.29199999999999804,-0.0309906005859375,-1.0,-0.29199999999999804,0.7750000000000021
133,2019-01-18,15.33,16.09587860107422,0.30900000000000105,0.5296344757080078,1.0,0.30900000000000105,1.0670000000000002
138,2019-01-11,15.577,15.566244125366211,-0.2469999999999999,0.6395559310913086,1.0,-0.2469999999999999,0.7579999999999991
143,2019-01-04,15.695,14.926688194274902,-0.11800000000000033,0.0605926513671875,1.0,-0.11800000000000033,1.004999999999999
147,2018-12-28,15.325999999999999,14.866095542907715,0.36900000000000155,0.18763160705566406,1.0,0.36900000000000155,1.1229999999999993
151,2018-12-21,14.583,14.67846393585205,0.7429999999999986,0.1993236541748047,1.0,0.7429999999999986,0.7539999999999978
156,2018-12-14,14.513,14.479140281677246,0.07000000000000028,0.10170841217041016,1.0,0.07000000000000028,0.010999999999999233
161,2018-12-07,14.572000000000001,14.377431869506836,-0.05900000000000105,0.04878711700439453,1.0,-0.05900000000000105,-0.05900000000000105
166,2018-11-30,14.094000000000001,14.328644752502441,0.47799999999999976,,,,
