Business_Week,Silver_Change,Silver_Settle,Silver_Volume,Silver_Prev. Day Open Interest,Date,Open Interest,Money Manager Shorts,Money Manager Longs,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Ten_Yr_Futures_Change,Ten_Yr_Futures_Settle,Ten_Yr_Futures_Volume,Ten_Yr_Futures_Prev. Day Open Interest,USD_Change,USD_Settle,USD_Volume,USD_Wave,USD_Prev. Day Open Interest,ZAR_Change,ZAR_Settle,ZAR_Volume,ZAR_Wave,ZAR_Prev. Day Open Interest
"[2006-06-07, 2006-06-13]",0.0,10.972999999999999,21766.4,48377.0,2006-06-13,163132.0,5659.0,21445.0,20386.0,42554.0,0.0,105.8625,34971.6,1935826.0,1.76,85.76199999999999,7364.2,,38753.4,0.07600000000000001,6.778999999999999,65.0,,2332.4
"[2006-06-14, 2006-06-20]",0.0,10.015,14272.2,42656.8,2006-06-20,161702.0,6584.0,20212.0,22672.0,43904.0,0.0,105.01875,10278.8,2003874.8,0.013000000000000067,86.2112,772.6,,37679.6,0.1175,6.9283,45.0,,2276.8
"[2006-06-21, 2006-06-27]",0.0,10.270000000000001,16621.8,32150.2,2006-06-27,141778.0,6351.0,19131.0,21210.0,37728.0,0.0,104.33125,547949.0,2151127.0,0.34,86.0,5056.2,,23433.4,0.1715,7.4125,359.25,,2395.75
"[2006-06-28, 2006-07-04]",0.0,10.440333333333333,12388.333333333334,8036.666666666667,2006-07-03,131659.0,2699.0,19253.0,17188.0,39594.0,0.0,104.53125,663508.5,2168869.75,-1.3,85.26399999999998,2935.2,,19682.8,-0.29200000000000004,7.1685,35.6,,2007.0
"[2006-07-05, 2006-07-11]",0.0,11.333400000000001,230.8,786.6,2006-07-11,135926.0,2292.0,20355.0,17402.0,40416.0,0.0,104.7125,791971.0,2154420.8,0.23,85.022,2823.0,,19415.6,0.096,7.1819999999999995,186.2,,2227.0
"[2006-07-12, 2006-07-18]",0.0,11.159,89.4,565.0,2006-07-18,135165.0,3993.0,19678.0,15498.0,40448.0,0.0,105.18125,840754.6,2072698.0,1.7000000000000002,86.06000000000002,4738.6,,18629.2,0.05999999999999999,7.2446,28.2,,2605.8
"[2006-07-19, 2006-07-25]",0.0,10.922,76.6,766.0,2006-07-25,132941.0,3560.0,19518.0,14678.0,39511.0,0.0,105.51875,906171.6,2047130.8,-0.32000000000000006,86.05600000000001,4580.4,,17135.4,-0.182,7.046600000000001,68.8,,2585.2
"[2006-07-26, 2006-08-01]",0.0,11.369,6406.6,27855.6,2006-08-01,133573.0,3932.0,22655.0,14914.0,40195.0,0.0,105.86875,797264.0,2070984.4,-1.59,85.27799999999999,2782.6,,15964.6,-0.05399999999999999,6.9474,150.2,,3187.0
"[2006-08-02, 2006-08-08]",0.0,12.268999999999998,14110.0,48491.8,2006-08-08,146644.0,3344.0,27083.0,14215.0,42261.0,0.0,106.334375,808699.4,2190924.6,-0.33999999999999997,84.604,2668.6,,16886.0,-0.158,6.8658,64.2,,3413.0
"[2006-08-09, 2006-08-15]",0.0,12.161,12600.0,44283.6,2006-08-15,149122.0,3294.0,27005.0,15603.0,42727.0,0.0,106.178125,734383.4,2258219.0,0.5700000000000001,85.07199999999999,1949.8,,18516.2,0.04950000000000003,6.8292,103.2,,3612.6
"[2006-08-16, 2006-08-22]",0.0,12.184000000000001,11181.4,41431.6,2006-08-22,156771.0,2606.0,28126.0,15782.0,44232.0,0.0,106.825,792486.2,2305033.8,0.030000000000000027,84.858,2383.2,,18870.4,0.289,6.9791,83.2,,3935.0
"[2006-08-23, 2006-08-29]",0.0,12.274000000000001,16352.8,49197.8,2006-08-29,144938.0,3977.0,27654.0,14636.0,41986.0,0.0,106.95625,1000051.4,2323386.4,-0.26999999999999996,85.082,1344.6,,18923.6,-0.0405,7.1696,376.4,,2162.8
"[2006-08-30, 2006-09-05]",0.0,12.8395,4054.25,57250.0,2006-09-05,145645.0,4649.0,29447.0,13571.0,42842.0,0.0,107.3046875,591776.5,2269876.0,0.15999999999999998,84.89200000000001,1219.8,,19968.0,0.06299999999999999,7.1911000000000005,9.4,,2233.6
"[2006-09-06, 2006-09-12]",0.0,11.984799999999998,175.8,49531.4,2006-09-12,135528.0,6359.0,22128.0,14935.0,39064.0,0.0,107.15,70353.2,2277428.8,0.94,85.648,6240.6,,21947.4,0.1775,7.359399999999999,137.2,,2221.0
"[2006-09-13, 2006-09-19]",0.0,10.937000000000001,33.8,42919.8,2006-09-19,134640.0,8445.0,18202.0,15939.0,38431.0,0.0,107.196875,19200.6,2306012.0,0.014999999999999944,85.86999999999999,1136.2,,16750.0,-0.045000000000000005,7.3543,51.0,,2086.6
"[2006-09-20, 2006-09-26]",0.0,11.1956,16.8,31886.2,2006-09-26,134036.0,7912.0,19458.0,16817.0,38414.0,0.0,108.175,937843.4,2261759.8,-0.29000000000000004,85.08399999999999,2860.2,,18577.4,0.2485,7.6915,391.75,,3084.5
"[2006-09-27, 2006-10-03]",0.0,11.512,7354.6,51826.0,2006-10-03,132231.0,7303.0,18545.0,16755.0,38425.0,0.0,108.19375,912709.2,2228200.6,0.11000000000000001,85.426,3698.0,,21804.0,0.21750000000000003,7.7974000000000006,153.8,,2986.0
"[2006-10-04, 2006-10-10]",0.0,11.136,8716.0,61536.2,2006-10-10,134365.0,7463.0,19115.0,18061.0,38961.0,0.0,107.921875,1165711.25,2281716.25,1.3400000000000003,86.088,3273.4,,26241.8,-0.163,7.8634,216.8,,2230.0
"[2006-10-11, 2006-10-17]",0.0,11.616,9447.2,63650.0,2006-10-17,142505.0,6655.0,22446.0,18431.0,41112.0,0.0,107.00625,976683.0,2419820.4,-0.13,86.77599999999998,3128.6,,33939.8,-0.1085,7.6209999999999996,214.8,,2164.2
"[2006-10-18, 2006-10-24]",0.0,11.892999999999999,10380.2,66305.2,2006-10-24,145379.0,6593.0,23268.0,18608.0,42509.0,0.0,106.94375,735809.8,2499685.2,-0.22000000000000006,86.334,3249.4,,35230.8,0.10250000000000001,7.645599999999999,42.0,,2091.2
"[2006-10-25, 2006-10-31]",0.0,12.146,10888.4,113275.6,2006-10-31,146743.0,5889.0,26792.0,16477.0,42600.0,0.0,107.653125,1017715.2,2467547.2,-1.3099999999999998,85.54400000000001,5855.4,,32494.8,-0.3435,7.511,104.6,,2181.0
"[2006-11-01, 2006-11-07]",0.0,12.639,11377.8,111748.6,2006-11-07,151596.0,6104.0,29509.0,16633.0,45098.0,0.0,107.9375,1080627.8,2420069.4,0.13,85.324,2860.6,,33675.0,-0.091,7.3969000000000005,128.0,,3202.4
"[2006-11-08, 2006-11-14]",0.0,12.898,13100.4,103373.8,2006-11-14,156613.0,5684.0,33759.0,15202.0,47173.0,0.0,108.1875,918098.4,2373777.2,-0.15999999999999998,85.08399999999999,2645.8,,34606.8,-0.062,7.285300000000001,84.8,,3241.6
"[2006-11-15, 2006-11-21]",0.0,12.903,14108.0,88424.6,2006-11-21,156551.0,5384.0,34880.0,16804.0,50482.0,0.0,108.103125,1166657.6,2353032.4,0.04000000000000001,85.256,1669.2,,33495.6,-0.032,7.268299999999999,32.8,,3604.6
"[2006-11-22, 2006-11-28]",0.0,13.408999999999997,14745.8,45980.6,2006-11-28,136194.0,4941.0,36335.0,12700.0,49259.0,0.0,108.58203125,1166028.75,2486386.5,-2.01,83.79399999999998,4293.2,,36145.4,-0.08400000000000002,7.166900000000001,80.0,,2411.0
"[2006-11-29, 2006-12-05]",0.0,13.880600000000001,3633.2,2509.0,2006-12-05,136023.0,4369.0,39679.0,11318.0,50817.0,0.0,109.190625,503803.4,2290807.0,-0.71,82.68800000000002,4183.8,,39907.8,-0.05149999999999999,7.170699999999999,325.2,,1687.8
