,Date,Settle
0,2019-07-26,1419.3
1,2019-07-25,1414.7
2,2019-07-24,1423.6
3,2019-07-23,1421.7
4,2019-07-22,1426.9
5,2019-07-19,1426.7
6,2019-07-18,1428.1
7,2019-07-17,1423.3
8,2019-07-16,1411.2
9,2019-07-15,1413.5
10,2019-07-12,1412.2
11,2019-07-11,1406.7
12,2019-07-10,1412.5
13,2019-07-09,1400.5
14,2019-07-08,1400.0
15,2019-07-05,1400.1
16,2019-07-03,1420.9
17,2019-07-02,1408.0
18,2019-07-01,1389.3
19,2019-06-28,1413.7
20,2019-06-27,1412.0
21,2019-06-26,1411.6
22,2019-06-25,1414.9
23,2019-06-24,1414.3
24,2019-06-21,1396.2
25,2019-06-20,1392.9
26,2019-06-19,1344.6
27,2019-06-18,1346.6
28,2019-06-17,1338.7
29,2019-06-14,1340.1
30,2019-06-13,1339.2
31,2019-06-12,1331.9
32,2019-06-11,1326.4
33,2019-06-10,1324.7
34,2019-06-07,1341.2
35,2019-06-06,1337.6
36,2019-06-05,1328.3
37,2019-06-04,1323.4
38,2019-06-03,1322.7
39,2019-05-31,1305.8
40,2019-05-30,1287.1
41,2019-05-29,1280.6
42,2019-05-28,1276.5
43,2019-05-24,1283.0
44,2019-05-23,1284.8
45,2019-05-22,1273.6
46,2019-05-21,1272.0
47,2019-05-20,1276.1
48,2019-05-17,1274.5
49,2019-05-16,1285.0
50,2019-05-15,1296.3
51,2019-05-14,1294.7
52,2019-05-13,1300.1
53,2019-05-10,1285.7
54,2019-05-09,1283.5
55,2019-05-08,1279.4
56,2019-05-07,1283.5
57,2019-05-06,1281.7
58,2019-05-03,1279.2
59,2019-05-02,1269.7
60,2019-05-01,1281.4
61,2019-04-30,1282.8
62,2019-04-29,1278.6
63,2019-04-26,1284.9
64,2019-04-25,1275.8
65,2019-04-24,1275.5
66,2019-04-23,1269.3
67,2019-04-22,1273.5
68,2019-04-18,1271.9
69,2019-04-17,1272.2
70,2019-04-16,1272.6
71,2019-04-15,1286.8
72,2019-04-12,1290.6
73,2019-04-11,1288.6
74,2019-04-10,1309.1
75,2019-04-09,1303.5
76,2019-04-08,1297.1
77,2019-04-05,1290.4
78,2019-04-04,1289.0
79,2019-04-03,1289.9
80,2019-04-02,1290.0
81,2019-04-01,1288.4
82,2019-03-29,1293.0
83,2019-03-28,1289.8
84,2019-03-27,1309.9
85,2019-03-26,1314.3
86,2019-03-25,1321.9
87,2019-03-22,1311.6
88,2019-03-21,1306.1
89,2019-03-20,1300.5
90,2019-03-19,1305.0
91,2019-03-18,1300.3
92,2019-03-15,1301.8
93,2019-03-14,1293.4
94,2019-03-13,1307.5
95,2019-03-12,1296.3
96,2019-03-11,1288.8
97,2019-03-08,1297.0
98,2019-03-07,1283.8
99,2019-03-06,1284.9
100,2019-03-05,1282.0
101,2019-03-04,1284.8
102,2019-03-01,1296.4
103,2019-02-28,1312.8
104,2019-02-27,1317.7
105,2019-02-26,1325.1
106,2019-02-25,1325.9
107,2019-02-22,1329.2
108,2019-02-21,1323.5
109,2019-02-20,1343.3
110,2019-02-19,1340.1
111,2019-02-15,1318.1
112,2019-02-14,1309.8
113,2019-02-13,1310.8
114,2019-02-12,1309.2
115,2019-02-11,1307.0
116,2019-02-08,1313.7
117,2019-02-07,1309.4
