Date,Settle,RelVal,,,,,14660,,,,,,100
43672,1419.3,1430.136963,10.84 ,9.08 ,1 ,,,14660 ,1 ,,9020 ,,
43665,1426.7,1421.059448,(5.64),(3.73),(1),(7.40),740 ,13920 ,(1),740 ,8280 ,,
43658,1412.2,1424.784912,12.58 ,10.19 ,1 ,14.50 ,1450 ,12470 ,1 ,1450 ,6830 ,,
43651,1400.1,1414.594849,14.49 ,60.52 ,1 ,12.10 ,1210 ,11260 ,1 ,1210 ,5620 ,,
43644,1413.7,1354.070313,(59.63),16.78 ,1 ,(13.60),(1360),12620 ,(1),1360 ,4260 ,,
43637,1396.2,1337.286499,(58.91),23.49 ,1 ,17.50 ,1750 ,10870 ,(1),(1750),6010 ,,
43630,1340.1,1313.79541,(26.30),27.39 ,1 ,56.10 ,5610 ,5260 ,(1),(5610),11620 ,,
43623,1341.2,1286.402466,(54.80),(1.93),(1),(1.10),110 ,5150 ,(1),110 ,11510 ,,
43616,1305.8,1288.3302,(17.47),(14.32),(1),35.40 ,(3540),8690 ,(1),(3540),15050 ,,
43609,1283,1302.649048,19.65 ,22.07 ,1 ,22.80 ,2280 ,6410 ,1 ,2280 ,12770 ,,
43602,1274.5,1280.578247,6.08 ,4.25 ,1 ,8.50 ,850 ,5560 ,1 ,850 ,11920 ,,
43595,1285.7,1276.327637,(9.37),2.47 ,1 ,(11.20),(1120),6680 ,(1),1120 ,10800 ,,
43588,1279.2,1273.859253,(5.34),(18.41),(1),6.50 ,(650),7330 ,(1),(650),11450 ,,
43581,1284.9,1292.27002,7.37 ,(2.64),(1),(5.70),570 ,6760 ,1 ,(570),12020 ,,
43567,1290.6,1294.91333,4.31 ,(26.38),(1),(5.70),570 ,6190 ,1 ,(570),12590 ,,
43560,1290.4,1321.296021,30.90 ,5.86 ,1 ,0.20 ,20 ,6170 ,1 ,20 ,12570 ,,
43553,1293,1315.436523,22.44 ,9.12 ,1 ,(2.60),(260),6430 ,1 ,(260),12830 ,,
43546,1311.6,1306.316284,(5.28),0.97 ,1 ,(18.60),(1860),8290 ,(1),1860 ,10970 ,,
43539,1301.8,1305.344971,3.54 ,(39.89),(1),9.80 ,(980),9270 ,1 ,980 ,9990 ,,
43532,1297,1345.236084,48.24 ,1.99 ,1 ,4.80 ,480 ,8790 ,1 ,480 ,9510 ,,
43525,1296.4,1343.248413,46.85 ,20.25 ,1 ,0.60 ,60 ,8730 ,1 ,60 ,9450 ,,
43518,1329.2,1322.996094,(6.20),(6.62),(1),(32.80),3280 ,5450 ,(1),3280 ,6170 ,,
43511,1318.1,1329.619263,11.52 ,21.47 ,1 ,11.10 ,1110 ,4340 ,1 ,1110 ,5060 ,,
43504,1313.7,1308.145752,(5.55),13.54 ,1 ,4.40 ,440 ,3900 ,(1),(440),5500 ,,
